date,open,high,low,close,volume
20181213,590,606.88,589.6,601.75,4039941
20181214,598.01,599.8,592,592.96,2455448
20181217,592.57,595.97,585.01,590.52,2489585
20181218,585.88,591.54,585,590.94,1922218
20181219,589,590.99,576.03,577.8,2571596
20181220,576.22,581.5,568.89,574.5,2694098
20181221,571,573.45,562.21,567.41,3064043
20181224,563.5,570.91,558,568,1910986
20181225,562.22,567.5,553.61,565.79,2659286
20181226,563.81,568.4,558,560.08,1786620
20181227,570,571.85,562.22,563,2949357
20181228,563.3,596.4,560,590.01,6367837
20190102,609.98,612,595.01,598.98,6228649
20190103,599.97,601.66,585.8,590,3097735
20190104,587.28,607.67,582.02,602,3768347
20190107,608,612,602.22,605.49,3475013
20190108,605.5,612,600.28,604.79,2883813
20190109,609.99,626.16,609.04,616.12,4989227
20190110,617.13,624.88,610.25,618.77,2904390
20190111,625,637,618.75,635.88,3888421
20190114,633,635.89,621.55,624.6,2564890
20190115,627.86,661.5,625,659.98,5576485
20190116,658,665.65,653.6,661.1,4208364
20190117,663,669.7,655.8,659.25,3028476
20190118,665,690.2,661.5,683.61,6860918
20190121,690,698.88,681.88,686.98,4705193
20190122,686,686,665.22,671,4212221
20190123,667.22,674.5,663.13,665.66,3362481
20190124,670.3,677.83,664.68,672.5,2915527
20190125,675.88,684.9,669.93,679.7,2898635
20190128,684,693.98,676.03,677,3610287
20190129,677.5,688,668,685,3034259
20190130,684.99,686.22,676,676,2269996
20190131,680,689.6,677.56,689.6,3669657
20190201,697.04,699,689.61,692.67,3052062
20190211,695,729.5,688.18,725.3,5814075
20190212,723,725.49,715.2,717.92,3509143
20190213,723,736.16,717.22,735.25,3567706
20190214,731.2,743.66,730.14,737.16,3225813
20190215,734.88,734.88,723.02,724.78,2323798
20190218,731,744.95,731,740,3774589
20190219,740.96,742.5,726.66,730.76,2950150
20190220,735,735,716.06,722,3788237
20190221,720,730.48,717,720.25,2985040
20190222,717,728.49,714.1,726.01,2590877
20190225,730.75,744.44,717.99,742.33,8262259
20190226,747.8,749.18,726,727.35,5796466
20190227,733,758.02,731,740.7,6594227
20190228,737.9,763.42,736.95,755.01,5698625
20190301,761.5,790,761,789.3,6384023
20190304,795,798.33,777.22,781.86,8458596
20190305,785,789.55,775.88,779.78,4483056
20190306,775,779.5,765.88,768,4673137
20190307,762.22,762.22,745.56,748.6,6018053
20190308,737.9,746.83,733.65,737.5,5227525
20190311,740.04,766.95,740.04,758.54,5305724
20190312,763.82,763.83,739,745.01,5251001
